timestamp(ms);mag;fx;x_raw;y_raw;z_raw;
"1776620881.464";"1116.04";"19.16";"429";"250";;
"1776620881.465";;;;;"0";
"1776620881.585";"781.23";"13.41";"0";"0";"0";
"1776620881.706";"1174.64";"-44.34";"-1468";"559";"17165";
"1776620881.827";"1374.04";"112.07";"3910";"1433";"14954";
"1776620881.948";"961.83";"78.45";"0";"0";"0";
"1776620882.069";"673.28";"54.91";;;;
"1776620882.07";;;"0";"0";"0";
"1776620882.19";"1112.78";"103.92";"1789";"-1090";"17434";
"1776620882.311";"1340.94";"-32.34";"-2871";"-4148";;
"1776620882.312";;;;;"15147";
"1776620882.432";"938.66";"-22.64";"0";"0";"0";
"1776620882.554";"1329.67";"85.39";"2766";"-1550";;
"1776620882.555";;;;;"18250";
"1776620882.675";"1394.98";"93.19";"913";"1696";"12780";
"1776620882.796";"1669.18";;;;;
"1776620882.797";;"145.83";"2202";"-1218";"18780";
"1776620882.917";"1168.42";"102.08";"0";"0";"0";
"1776620883.039";"1305.67";"128.88";"1569";"-1662";"13163";
"1776620883.16";"1601.17";"167.81";"2120";"-172";"18678";
"1776620883.281";"1120.82";"117.47";"0";"0";"0";
"1776620883.402";"784.57";"82.23";"0";"0";"0";
"1776620883.523";"1172.54";"129.66";;;;
"1776620883.524";;;"1970";"-1971";"16822";
"1776620883.644";"1435.23";;;;;
"1776620883.645";;"99.58";"241";"-2468";"16669";
"1776620883.765";"1004.66";;;;;
"1776620883.766";;"69.71";"0";;;
"1776620883.767";;;;"0";"0";
"1776620883.887";"703.26";"48.8";"0";"0";"0";
"1776620884.008";"1203.63";"-56.17";"-2468";"-3357";"19156";
"1776620884.13";"1464.33";"14.85";"1480";"-1120";"17008";
"1776620884.25";"1025.03";;;;;
"1776620884.251";;"10.39";"0";"0";"0";
"1776620884.372";"1302.67";"-77.34";"-2312";"-2326";"15760";
"1776620884.493";"1594.19";"-18.13";"984";"-112";"18763";
"1776620884.614";"1735.84";;;;;
"1776620884.615";;"124.89";"3759";"1922";"16902";
"1776620884.735";"1215.09";"87.42";;;;
"1776620884.736";;;"0";"0";"0";
"1776620884.856";"1385.4";;;;;
"1776620884.857";;"179.3";"3227";"778";"14351";
"1776620884.978";"1565.06";"152.82";"746";"-510";"16286";
"1776620885.099";"1095.54";"106.97";"0";"0";"0";
"1776620885.22";"766.88";"74.88";"0";"0";"0";
"1776620885.341";"1118.01";"24.71";;;;
"1776620885.342";;;"-757";"-2152";"15864";
"1776620885.463";"1351.3";"10.6";"-183";;;
"1776620885.464";;;;"815";"15590";
"1776620885.584";"945.91";"7.42";"0";"0";"0";
"1776620885.705";"662.14";"5.19";"0";"0";"0";
"1776620885.826";"1078.02";"98.65";"2596";"-458";"16661";
"1776620885.948";"1396.85";"108.84";"1087";"258";"17523";
"1776620886.069";"977.79";"76.19";"0";"0";"0";
"1776620886.189";"1329.13";"133.16";;;;
"1776620886.19";;;"2181";"-1678";"17444";
"1776620886.311";"1617.01";"207.99";"3136";"-1490";"18466";
"1776620886.432";"1832.33";"181.9";"992";"-382";"19154";
"1776620886.552";"1282.63";;;;;
"1776620886.553";;"127.33";;;;
"1776620886.554";;;"0";"0";"0";
"1776620886.674";"1602.38";"74.86";"-390";"-2529";"19196";
"1776620886.795";"1663.34";;;;;
"1776620886.797";;"5.81";;;;
"1776620886.798";;;"-1273";"-2295";"14680";
"1776620886.916";"1164.34";;;;;
"1776620886.917";;"4.07";"0";"0";"0";
"1776620887.038";"815.04";"2.85";"0";"0";"0";
"1776620887.158";"1140.02";;;;;
